n_estimators,max_depth,min_samples_split,min_samples_leaf,max_features,mse,mae,rmse,r2,explained_variance_score,max_error,mean_absolute_percentage_error,mean_squared_log_error,mean_squared_log_error(squared=False),test_score,train_score
50,,5,10,sqrt,8626388.730978483,1666.4886844368586,2937.0714548642636,0.9829321133568325,0.982932123617731,31895.021083539126,0.14779185674241582,0.039063690570769596,0.19764536566985222,0.9829321133568325,0.9846996096861481
50,,5,10,log2,8626388.730978483,1666.4886844368586,2937.0714548642636,0.9829321133568325,0.982932123617731,31895.021083539126,0.14779185674241582,0.039063690570769596,0.19764536566985222,0.9829321133568325,0.9846996096861481
50,,20,1,sqrt,6613552.204352822,1350.5655794252252,2571.6827573308537,0.9869146449513456,0.9869148021805706,29855.30886747109,0.11568478939418814,0.02849900016002675,0.1688164688649385,0.9869146449513456,0.9899060131394382
50,,20,1,log2,6613552.204352822,1350.5655794252252,2571.6827573308537,0.9869146449513456,0.9869148021805706,29855.30886747109,0.11568478939418814,0.02849900016002675,0.1688164688649385,0.9869146449513456,0.9899060131394382
50,,20,2,sqrt,6697468.252742042,1369.0148050927455,2587.9467252519016,0.9867486114411345,0.9867486126410603,32048.047601951825,0.11780180508420188,0.02921777584756059,0.17093207963270263,0.9867486114411345,0.9894769530184027
50,,20,2,log2,6697468.252742042,1369.0148050927455,2587.9467252519016,0.9867486114411345,0.9867486126410603,32048.047601951825,0.11780180508420188,0.02921777584756059,0.17093207963270263,0.9867486114411345,0.9894769530184027
50,,20,10,sqrt,8626388.730978483,1666.4886844368586,2937.0714548642636,0.9829321133568325,0.982932123617731,31895.021083539126,0.14779185674241582,0.039063690570769596,0.19764536566985222,0.9829321133568325,0.9846996096861481
50,,20,10,log2,8626388.730978483,1666.4886844368586,2937.0714548642636,0.9829321133568325,0.982932123617731,31895.021083539126,0.14779185674241582,0.039063690570769596,0.19764536566985222,0.9829321133568325,0.9846996096861481
50,5,2,1,sqrt,127609709.55735756,8741.397295293644,11296.44676689788,0.7475156609310996,0.7475159101574246,50182.60192361168,0.9341761914324729,0.5160421751446687,0.7183607555710909,0.7475156609310996,0.7466689162001348
50,5,2,1,log2,127609709.55735756,8741.397295293644,11296.44676689788,0.7475156609310996,0.7475159101574246,50182.60192361168,0.9341761914324729,0.5160421751446687,0.7183607555710909,0.7475156609310996,0.7466689162001348
50,5,2,2,sqrt,127609749.01623188,8741.400165260195,11296.44851341482,0.7475155828590796,0.747515832209585,50182.60192361168,0.9341768140138986,0.5160426803029811,0.7183611071758973,0.7475155828590796,0.7466689130119146
50,5,2,2,log2,127609749.01623188,8741.400165260195,11296.44851341482,0.7475155828590796,0.747515832209585,50182.60192361168,0.9341768140138986,0.5160426803029811,0.7183611071758973,0.7475155828590796,0.7466689130119146
50,5,2,10,sqrt,127611646.29786578,8741.553120825729,11296.53249001063,0.7475118289605633,0.7475120795658469,50182.60192361168,0.9342606088011014,0.5161112624679778,0.7184088407501523,0.7475118289605633,0.7466638894581943
50,5,2,10,log2,127611646.29786578,8741.553120825729,11296.53249001063,0.7475118289605633,0.7475120795658469,50182.60192361168,0.9342606088011014,0.5161112624679778,0.7184088407501523,0.7475118289605633,0.7466638894581943
50,5,5,1,sqrt,127609709.55735756,8741.397295293644,11296.44676689788,0.7475156609310996,0.7475159101574246,50182.60192361168,0.9341761914324729,0.5160421751446687,0.7183607555710909,0.7475156609310996,0.7466689162001348
50,5,5,1,log2,127609709.55735756,8741.397295293644,11296.44676689788,0.7475156609310996,0.7475159101574246,50182.60192361168,0.9341761914324729,0.5160421751446687,0.7183607555710909,0.7475156609310996,0.7466689162001348
50,5,5,2,sqrt,127609749.01623188,8741.400165260195,11296.44851341482,0.7475155828590796,0.747515832209585,50182.60192361168,0.9341768140138986,0.5160426803029811,0.7183611071758973,0.7475155828590796,0.7466689130119146
50,5,5,2,log2,127609749.01623188,8741.400165260195,11296.44851341482,0.7475155828590796,0.747515832209585,50182.60192361168,0.9341768140138986,0.5160426803029811,0.7183611071758973,0.7475155828590796,0.7466689130119146
50,5,5,10,sqrt,127611646.29786578,8741.553120825729,11296.53249001063,0.7475118289605633,0.7475120795658469,50182.60192361168,0.9342606088011014,0.5161112624679778,0.7184088407501523,0.7475118289605633,0.7466638894581943
50,5,5,10,log2,127611646.29786578,8741.553120825729,11296.53249001063,0.7475118289605633,0.7475120795658469,50182.60192361168,0.9342606088011014,0.5161112624679778,0.7184088407501523,0.7475118289605633,0.7466638894581943
50,5,20,1,sqrt,127611904.46868984,8741.545891515601,11296.54391699912,0.7475113181523332,0.7475115674959136,50182.60192361168,0.9342560030852057,0.5161081664230531,0.7184066859537522,0.7475113181523332,0.7466645657465975
50,5,20,1,log2,127611904.46868984,8741.545891515601,11296.54391699912,0.7475113181523332,0.7475115674959136,50182.60192361168,0.9342560030852057,0.5161081664230531,0.7184066859537522,0.7475113181523332,0.7466645657465975
50,5,20,2,sqrt,127611943.93244351,8741.548761482154,11296.545663717006,0.747511240070659,0.7475114895384489,50182.60192361168,0.9342566256666315,0.5161086717932374,0.7184070376835386,0.747511240070659,0.7466645625661574
