n_estimators,max_depth,min_samples_split,min_samples_leaf,max_features,mse,mae,rmse,r2,test_score,train_score
50,10,20,2,log2,23303344.03430225,2888.2582489178017,4827.353729974866,0.9547352989460104,0.9547352989460104,0.9548699387673176
50,10,20,10,sqrt,24033682.435204133,3020.6027366764215,4902.415979413021,0.9533166806851973,0.9533166806851973,0.9533942196070414
50,10,20,10,log2,23726098.925601445,2954.3869742001984,4870.944356652152,0.9539141346639399,0.9539141346639399,0.9539127428592681
50,20,2,1,sqrt,8697837.881328745,1471.5460888162997,2949.2097045359023,0.9831052131001078,0.9831052131001078,0.990590724338757
50,20,2,1,log2,8945323.447946606,1504.6859424502636,2990.873358727615,0.9826244941023689,0.9826244941023689,0.9899555932885478
50,20,2,2,sqrt,8904098.954501769,1513.5043856980722,2983.9736852897627,0.9827045690636764,0.9827045690636764,0.9876201832617425
50,20,2,2,log2,9211508.608988935,1560.7586638485923,3035.046722702788,0.9821074527832409,0.9821074527832409,0.9868170438230258
50,20,2,10,sqrt,10986817.995728757,1790.0511264733113,3314.636932716577,0.9786590700725522,0.9786590700725522,0.9800975082335532
50,20,2,10,log2,11224559.463009551,1809.2172488545798,3350.3073684379397,0.9781972781327876,0.9781972781327876,0.9795684132242479
50,20,5,1,sqrt,8689945.226188418,1481.3835155885288,2947.871304210619,0.9831205438901833,0.9831205438901833,0.9887428906110302
50,20,5,1,log2,8821677.522228485,1504.6243918002992,2970.130893113717,0.9828646654638669,0.9828646654638669,0.988533596375932
50,20,5,2,sqrt,8951084.263874352,1518.9494992028108,2991.836269563285,0.9826133042229073,0.9826133042229073,0.98728709581041
50,20,5,2,log2,9158174.023569966,1556.247104726222,3026.2475152521756,0.9822110505356181,0.9822110505356181,0.9867436986301406
50,20,5,10,sqrt,10986817.995728757,1790.0511264733113,3314.636932716577,0.9786590700725522,0.9786590700725522,0.9800975082335532
50,20,5,10,log2,11224559.463009551,1809.2172488545798,3350.3073684379397,0.9781972781327876,0.9781972781327876,0.9795684132242479
50,20,20,1,sqrt,9157766.874338247,1570.2800911691343,3026.180244852948,0.9822118413872758,0.9822118413872758,0.9850173280776241
50,20,20,1,log2,9445065.385002246,1607.679148811353,3073.282509793437,0.9816537892390811,0.9816537892390811,0.9844115416163263
50,20,20,2,sqrt,9335554.84113299,1594.0646804000867,3055.4140212306725,0.9818665038616351,0.9818665038616351,0.9844453355005612
50,20,20,2,log2,9698919.417542981,1639.7726453090886,3114.308818589284,0.9811607000550828,0.9811607000550828,0.9837514911607024
50,20,20,10,sqrt,10986817.995728757,1790.0511264733113,3314.636932716577,0.9786590700725522,0.9786590700725522,0.9800975082335532
50,20,20,10,log2,11224559.463009551,1809.2172488545798,3350.3073684379397,0.9781972781327876,0.9781972781327876,0.9795684132242479
100,,2,1,sqrt,8020899.12740411,1178.0107889937415,2832.119193714154,0.9844201072321754,0.9844201072321754,0.9973397042532589
100,,2,1,log2,8045455.415023654,1187.2825616836662,2836.451200888824,0.9843724087981456,0.9843724087981456,0.9973262461515415
100,,2,2,sqrt,7547468.667939712,1243.4593254296685,2747.2656711610025,0.985339704358921,0.985339704358921,0.9926610315721253
100,,2,2,log2,7637044.890573478,1265.7500084281903,2763.5203799815695,0.9851657104062466,0.9851657104062466,0.9924839420225976
100,,2,10,sqrt,9713643.298229557,1628.9658280609176,3116.6718303712305,0.9811321002087838,0.9811321002087838,0.9829222107107116
100,,2,10,log2,9954940.209521575,1672.0661048979287,3155.145037794867,0.9806634021309969,0.9806634021309969,0.9824002842082008
100,,5,1,sqrt,7488265.485718801,1193.4800118796231,2736.4695294701896,0.9854547013456509,0.9854547013456509,0.9942321974430064
100,,5,1,log2,7520930.494394753,1200.0144831724713,2742.431493108762,0.9853912524324621,0.9853912524324621,0.9942351841449464
