technique,k_neighbors or k_neighbors,X_train_shape,X_test_shape,y_train_shape,y_test_shape,mse,mae,mape,rmse,r2,test_score,train_score,execution_time
Adasyn,6,"(330636, 36)","(60029, 36)","(330636,)","(60029,)",7818170.892012958,1090.5765960794083,0.06993513897755926,2796.0992278552917,0.9847680444983962,0.9847680444983962,0.997570549546165,153.43972444534302
Adasyn,7,"(330678, 36)","(60029, 36)","(330678,)","(60029,)",7616436.760846412,1078.6347259683105,0.06972439413291084,2759.7892602237607,0.9851610782848823,0.9851610782848823,0.9975830745778551,152.94382214546204
Adasyn,8,"(330625, 36)","(60029, 36)","(330625,)","(60029,)",7592327.063837388,1073.990395649106,0.06960642673539083,2755.417765754839,0.9852080506313647,0.9852080506313647,0.9975734289636011,150.55776238441467
Adasyn,9,"(330635, 36)","(60029, 36)","(330635,)","(60029,)",7653131.046568217,1073.7713985274634,0.06958209601879149,2766.429295421847,0.9850895876849711,0.9850895876849711,0.9975697312616487,1407.036661863327
Adasyn,10,"(330621, 36)","(60029, 36)","(330621,)","(60029,)",7679420.227863615,1074.413242595206,0.06960082978617489,2771.176686511276,0.9850383691013412,0.9850383691013412,0.997552310918227,226.3091995716095
Adasyn,11,"(330699, 36)","(60029, 36)","(330699,)","(60029,)",7721904.693405212,1076.062757533305,0.06961338529629475,2778.8315338295,0.9849555976324674,0.9849555976324674,0.9975244995054507,77.75732111930847
Adasyn,12,"(330677, 36)","(60029, 36)","(330677,)","(60029,)",7680124.737419853,1076.2681922504426,0.06965811099866726,2771.303797388488,0.98503699652221,0.98503699652221,0.9975108606664984,78.50641512870789
Adasyn,13,"(330667, 36)","(60029, 36)","(330667,)","(60029,)",7623945.556420598,1075.0273394320254,0.06962004456513118,2761.1493180233115,0.9851464490779186,0.9851464490779186,0.9975080350057507,80.44224452972412
Adasyn,14,"(330672, 36)","(60029, 36)","(330672,)","(60029,)",7598213.37313337,1073.4877494670804,0.06957714211476303,2756.4856925319546,0.9851965824756409,0.9851965824756409,0.9975120788184482,80.58329558372498
Bordarlinesmote,1,"(330654, 36)","(60029, 36)","(330654,)","(60029,)",7566926.292636707,1072.9681337439265,0.06955926466933984,2750.804662755374,0.9852575383468393,0.9852575383468393,0.9976049450864547,77.53549647331238
Bordarlinesmote,2,"(330654, 36)","(60029, 36)","(330654,)","(60029,)",7563960.984431764,1073.1737194696188,0.06956196716953003,2750.2656207049827,0.9852633155859467,0.9852633155859467,0.9975995500907137,76.75992679595947
Bordarlinesmote,3,"(330654, 36)","(60029, 36)","(330654,)","(60029,)",7585404.503680312,1071.3546110682057,0.06952002801492081,2754.161306764786,0.9852215376898757,0.9852215376898757,0.9975940177554399,75.3400776386261
Bordarlinesmote,4,"(330654, 36)","(60029, 36)","(330654,)","(60029,)",7593037.995826393,1071.9574346362633,0.06955942772526286,2755.546768941945,0.9852066655395612,0.9852066655395612,0.9975951001707641,83.8613691329956
Bordarlinesmote,5,"(330654, 36)","(60029, 36)","(330654,)","(60029,)",7591184.569725135,1071.9470688793444,0.06955005445142778,2755.210440188759,0.985210276525339,0.985210276525339,0.9975944459615645,77.64145922660828
Bordarlinesmote,6,"(330654, 36)","(60029, 36)","(330654,)","(60029,)",7593821.1804291345,1071.221682030485,0.06954144137707309,2755.6888758401474,0.985205139679717,0.985205139679717,0.9975924834386798,80.25806498527527
Bordarlinesmote,7,"(330654, 36)","(60029, 36)","(330654,)","(60029,)",7582754.471414802,1070.1678052621714,0.06951527757349667,2753.6801686860445,0.9852267006844052,0.9852267006844052,0.9975808149492396,80.78340291976929
Bordarlinesmote,8,"(330654, 36)","(60029, 36)","(330654,)","(60029,)",7572387.40651946,1071.3044147887283,0.06948372229976166,2751.797123066935,0.9852468985891772,0.9852468985891772,0.9975621368199148,84.34039068222046
Bordarlinesmote,9,"(330654, 36)","(60029, 36)","(330654,)","(60029,)",7577978.6938860845,1071.9073620053969,0.06949869948592756,2752.8128693912495,0.9852360052176276,0.9852360052176276,0.997560155746705,84.90174722671509
Bordarlinesmote,10,"(330654, 36)","(60029, 36)","(330654,)","(60029,)",7587202.579523596,1072.2915430707114,0.06950447043357731,2754.4877163501014,0.9852180345416827,0.9852180345416827,0.99755756687925,94.95813775062561
Bordarlinesmote,11,"(330654, 36)","(60029, 36)","(330654,)","(60029,)",7592050.207721434,1072.125610421733,0.06950505703336154,2755.3675267959143,0.9852085900235188,0.9852085900235188,0.9975578399444546,82.19855880737305
Bordarlinesmote,12,"(330654, 36)","(60029, 36)","(330654,)","(60029,)",7585927.115446579,1071.6992450056252,0.06949682965222095,2754.256181884063,0.9852205194978615,0.9852205194978615,0.9975574692922733,93.92611622810364
Bordarlinesmote,13,"(330654, 36)","(60029, 36)","(330654,)","(60029,)",7575284.892246783,1070.5678161534368,0.06945090842768928,2752.323544252525,0.985241253486982,0.985241253486982,0.9975561449955905,88.29983472824097
Bordarlinesmote,14,"(330654, 36)","(60029, 36)","(330654,)","(60029,)",7578700.679348795,1071.059234936944,0.06947513173482509,2752.9440022181334,0.9852345985906054,0.9852345985906054,0.9975552747556456,84.05704617500305
