n_estimators,max_depth,min_samples_split,min_samples_leaf,max_features,mse,mae,rmse,r2,test_score,train_score
50,5,5,1,sqrt,39663303.0973595,4286.119741537408,6297.8808417879345,0.9229575139570945,0.9229575139570945,0.9226747640854558
50,5,5,1,log2,39663303.0973595,4286.119741537408,6297.8808417879345,0.9229575139570945,0.9229575139570945,0.9226747640854558
50,5,5,2,sqrt,39663303.0973595,4286.119741537408,6297.8808417879345,0.9229575139570945,0.9229575139570945,0.9226747640854558
50,5,5,2,log2,39663303.0973595,4286.119741537408,6297.8808417879345,0.9229575139570945,0.9229575139570945,0.9226747640854558
50,5,5,10,sqrt,39663564.08183061,4286.052654006277,6297.901561776796,0.9229570070176593,0.9229570070176593,0.9226733688191832
50,5,5,10,log2,39663564.08183061,4286.052654006277,6297.901561776796,0.9229570070176593,0.9229570070176593,0.9226733688191832
50,5,20,1,sqrt,39663303.0973595,4286.119741537408,6297.8808417879345,0.9229575139570945,0.9229575139570945,0.9226747640854558
50,5,20,1,log2,39663303.0973595,4286.119741537408,6297.8808417879345,0.9229575139570945,0.9229575139570945,0.9226747640854558
50,5,20,2,sqrt,39663303.0973595,4286.119741537408,6297.8808417879345,0.9229575139570945,0.9229575139570945,0.9226747640854558
50,5,20,2,log2,39663303.0973595,4286.119741537408,6297.8808417879345,0.9229575139570945,0.9229575139570945,0.9226747640854558
50,5,20,10,sqrt,39663564.08183061,4286.052654006277,6297.901561776796,0.9229570070176593,0.9229570070176593,0.9226733688191832
50,5,20,10,log2,39663564.08183061,4286.052654006277,6297.901561776796,0.9229570070176593,0.9229570070176593,0.9226733688191832
50,10,2,1,sqrt,17893743.47806954,2477.644114058534,4230.099700724504,0.9652429733655672,0.9652429733655672,0.9655547923631009
50,10,2,1,log2,17893743.47806954,2477.644114058534,4230.099700724504,0.9652429733655672,0.9652429733655672,0.9655547923631009
50,10,2,2,sqrt,17383823.957595944,2422.904846644696,4169.391317398254,0.9662334472916208,0.9662334472916208,0.9665526680304076
50,10,2,2,log2,17383823.957595944,2422.904846644696,4169.391317398254,0.9662334472916208,0.9662334472916208,0.9665526680304076
50,10,2,10,sqrt,17669088.86002005,2484.094125574928,4203.461533072481,0.9656793452489948,0.9656793452489948,0.9657827758683663
50,10,2,10,log2,17669088.86002005,2484.094125574928,4203.461533072481,0.9656793452489948,0.9656793452489948,0.9657827758683663
50,10,5,1,sqrt,17665968.110681627,2451.016317450221,4203.090304844952,0.9656854070307571,0.9656854070307571,0.9660094283200304
50,10,5,1,log2,17665968.110681627,2451.016317450221,4203.090304844952,0.9656854070307571,0.9656854070307571,0.9660094283200304
50,10,5,2,sqrt,17259659.280598167,2412.711524126992,4154.474609454024,0.9664746262819621,0.9664746262819621,0.9668133307611153
50,10,5,2,log2,17259659.280598167,2412.711524126992,4154.474609454024,0.9664746262819621,0.9664746262819621,0.9668133307611153
50,10,5,10,sqrt,17669088.86002005,2484.094125574928,4203.461533072481,0.9656793452489948,0.9656793452489948,0.9657827758683663
50,10,5,10,log2,17669088.86002005,2484.094125574928,4203.461533072481,0.9656793452489948,0.9656793452489948,0.9657827758683663
50,10,20,1,sqrt,17258570.62693781,2396.2262794072512,4154.343585566535,0.9664767408961743,0.9664767408961743,0.9667208409489076
50,10,20,1,log2,17258570.62693781,2396.2262794072512,4154.343585566535,0.9664767408961743,0.9664767408961743,0.9667208409489076
50,10,20,2,sqrt,17353393.166433614,2431.951881333905,4165.740410351275,0.966292556433329,0.966292556433329,0.9665582218948904
50,10,20,2,log2,17353393.166433614,2431.951881333905,4165.740410351275,0.966292556433329,0.966292556433329,0.9665582218948904
50,10,20,10,sqrt,17669088.86002005,2484.094125574928,4203.461533072481,0.9656793452489948,0.9656793452489948,0.9657827758683663
50,10,20,10,log2,17669088.86002005,2484.094125574928,4203.461533072481,0.9656793452489948,0.9656793452489948,0.9657827758683663
50,20,2,1,sqrt,6208475.287302161,1110.7813110359787,2491.6812170304133,0.9879405815119431,0.9879405815119431,0.9955614267615861
50,20,2,1,log2,6208475.287302161,1110.7813110359787,2491.6812170304133,0.9879405815119431,0.9879405815119431,0.9955614267615861
50,20,2,2,sqrt,6254420.597587653,1140.1442967470969,2500.883963239329,0.9878513367781468,0.9878513367781468,0.9929656272086058
50,20,2,2,log2,6254420.597587653,1140.1442967470969,2500.883963239329,0.9878513367781468,0.9878513367781468,0.9929656272086058
50,20,2,10,sqrt,7409033.560415191,1354.878506680593,2721.9539967485107,0.9856086024084135,0.9856086024084135,0.9872064244639913
50,20,2,10,log2,7409033.560415191,1354.878506680593,2721.9539967485107,0.9856086024084135,0.9856086024084135,0.9872064244639913
